               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10335,             0.11854,             0.16223,             0.22658,           0.0042793,           0.0017664,          0.00041909,            0.073087,            0.088911,             0.15502,           0.0032778,           0.0032778,              0.0705
                   1,            0.071962,             0.13203,             0.15711,             0.10331,            0.014865,          0.00058319,          0.00012822,            0.059368,            0.083421,             0.15036,           0.0065457,           0.0065457,            0.040435
                   2,            0.066533,             0.12937,             0.15438,             0.28008,            0.013514,           0.0071398,           0.0034344,            0.059739,            0.081467,             0.14547,           0.0097475,           0.0097475,            0.010303
                   3,            0.056858,              0.1336,             0.15245,             0.10953,            0.016486,           0.0016005,           0.0010466,            0.050764,             0.10007,             0.14528,            0.009703,            0.009703,            0.009703
                   4,             0.04947,             0.12385,             0.15182,             0.14715,            0.010686,            0.001043,          0.00045461,            0.038617,             0.07897,             0.14469,            0.009703,            0.009703,            0.009703
                   5,            0.041065,             0.11669,             0.15103,          0.00045712,           0.0099099,          0.00077215,          0.00047766,            0.036076,            0.073909,             0.14461,            0.009604,            0.009604,            0.009604
                   6,            0.039949,             0.11132,             0.15056,          0.00019305,           0.0018018,          0.00015933,          0.00011153,            0.035398,            0.077954,             0.14422,            0.009505,            0.009505,            0.009505
                   7,            0.037014,             0.11612,             0.14969,           0.0017589,           0.0075676,           0.0016523,           0.0011611,            0.038524,            0.090083,             0.14379,            0.009406,            0.009406,            0.009406
                   8,            0.037704,             0.11448,             0.14966,           0.0003026,           0.0081081,          0.00037953,          0.00026567,            0.031371,            0.074892,             0.14403,            0.009307,            0.009307,            0.009307
                   9,            0.034708,             0.11189,              0.1491,          8.1284e-05,           0.0054054,          0.00010976,          5.8648e-05,            0.032402,            0.080105,             0.14433,            0.009208,            0.009208,            0.009208
                  10,            0.035527,             0.10629,             0.14863,          0.00043758,           0.0040541,          0.00043086,          0.00025852,            0.031768,            0.073461,             0.14445,            0.009109,            0.009109,            0.009109
                  11,            0.034453,             0.10626,             0.14871,          0.00086803,           0.0072072,          0.00064676,          0.00045915,            0.030384,            0.070947,             0.14442,             0.00901,             0.00901,             0.00901
                  12,            0.032119,             0.10615,             0.14832,           0.0013413,            0.010811,           0.0013593,           0.0010314,            0.028503,            0.072772,             0.14439,            0.008911,            0.008911,            0.008911
                  13,             0.03158,             0.10354,             0.14769,          0.00089812,           0.0063063,           0.0010657,          0.00087645,             0.02917,            0.075212,             0.14454,            0.008812,            0.008812,            0.008812
                  14,            0.032163,             0.10128,             0.14761,           0.0010192,            0.009009,           0.0012303,          0.00073895,            0.029237,            0.072391,             0.14438,            0.008713,            0.008713,            0.008713
                  15,            0.032256,             0.10313,             0.14768,             0.28774,           0.0022523,          0.00048419,           0.0003806,            0.028543,            0.075187,             0.14452,            0.008614,            0.008614,            0.008614
                  16,            0.030685,            0.097273,             0.14705,            0.001036,           0.0040541,           0.0011989,          0.00079086,            0.027888,            0.073274,             0.14468,            0.008515,            0.008515,            0.008515
                  17,            0.029889,              0.1043,             0.14684,              0.3287,           0.0053387,           0.0028016,           0.0021045,            0.028835,            0.078732,              0.1447,            0.008416,            0.008416,            0.008416
                  18,            0.027942,            0.096691,             0.14662,           0.0020889,            0.012162,           0.0026095,           0.0020323,             0.02634,            0.074757,             0.14482,            0.008317,            0.008317,            0.008317
                  19,            0.029707,              0.1004,             0.14665,           0.0034789,            0.012838,           0.0038124,            0.002718,            0.027263,            0.078415,             0.14473,            0.008218,            0.008218,            0.008218
                  20,            0.028986,            0.095031,               0.146,          0.00045045,           0.0013514,          0.00036036,          0.00028829,            0.026804,            0.078663,              0.1449,            0.008119,            0.008119,            0.008119
                  21,            0.028384,             0.09171,              0.1461,           0.0018445,           0.0072072,           0.0017229,           0.0012124,            0.027123,            0.079342,             0.14475,             0.00802,             0.00802,             0.00802
                  22,            0.028275,            0.098097,             0.14567,           0.0020489,           0.0072072,            0.002415,           0.0016435,            0.025374,            0.076975,             0.14507,            0.007921,            0.007921,            0.007921
                  23,            0.028019,            0.092518,             0.14539,            0.001805,           0.0058559,           0.0014915,           0.0011045,             0.02668,            0.074867,             0.14528,            0.007822,            0.007822,            0.007822
                  24,            0.028625,            0.091809,             0.14494,             0.19084,           0.0033675,            0.001009,          0.00075333,             0.02797,            0.074423,             0.14544,            0.007723,            0.007723,            0.007723
                  25,            0.028694,            0.091441,             0.14499,           0.0018673,           0.0058559,           0.0018908,            0.001558,            0.026933,            0.077962,             0.14535,            0.007624,            0.007624,            0.007624
                  26,            0.028949,            0.091506,             0.14436,           0.0030593,           0.0081081,           0.0027041,           0.0021056,            0.029583,            0.077453,             0.14561,            0.007525,            0.007525,            0.007525
                  27,            0.028332,             0.09311,             0.14441,          0.00068445,           0.0022523,          0.00097019,          0.00084891,            0.028604,            0.078838,             0.14573,            0.007426,            0.007426,            0.007426
                  28,            0.027531,            0.089789,             0.14386,             0.18322,           0.0054054,           0.0033452,           0.0025148,            0.026036,            0.078203,             0.14569,            0.007327,            0.007327,            0.007327
                  29,            0.027328,            0.092708,             0.14388,           0.0012012,           0.0027027,           0.0011982,          0.00080871,            0.026919,            0.078567,             0.14552,            0.007228,            0.007228,            0.007228
                  30,             0.02743,            0.092015,             0.14457,             0.23989,            0.001025,          0.00089039,          0.00080135,            0.025694,            0.079556,             0.14585,            0.007129,            0.007129,            0.007129
