               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047683,             0.12633,             0.15317,           0.0011355,            0.024775,           0.0014728,           0.0008065,            0.040144,            0.068189,             0.15547,           0.0032456,           0.0032456,            0.070789
                   1,            0.046865,             0.11865,             0.15302,             0.23339,            0.012162,           0.0011657,          0.00070505,            0.049552,            0.066096,              0.1558,           0.0065355,           0.0065355,            0.040746
                   2,            0.051659,              0.1324,             0.15228,             0.41328,           0.0024711,             0.00194,          0.00072986,            0.047444,             0.11755,             0.15585,           0.0097814,           0.0097814,            0.010659
                   3,            0.054069,             0.12431,             0.15181,            0.076644,            0.014775,           0.0010153,          0.00033521,            0.051742,              0.1034,              0.1557,            0.009802,            0.009802,            0.009802
                   4,            0.048095,              0.1171,              0.1511,           0.0003242,            0.016216,          0.00034477,          0.00015482,            0.040811,            0.083809,             0.15545,            0.009802,            0.009802,            0.009802
                   5,            0.043038,              0.1113,             0.15071,            0.093786,           0.0056172,           0.0013784,          0.00081191,            0.039976,            0.098777,             0.15554,            0.009736,            0.009736,            0.009736
                   6,             0.03881,             0.11419,             0.15009,          0.00071814,            0.014414,          0.00074492,          0.00047731,            0.034933,             0.08401,             0.15459,             0.00967,             0.00967,             0.00967
                   7,            0.037487,              0.1152,             0.14952,          0.00054209,           0.0094595,          0.00053621,          0.00023903,            0.037342,            0.074544,             0.15507,            0.009604,            0.009604,            0.009604
                   8,             0.03644,             0.11039,             0.14922,          0.00065224,            0.013514,          0.00063949,          0.00038062,            0.038546,            0.080632,             0.15491,            0.009538,            0.009538,            0.009538
                   9,            0.035324,             0.10868,             0.14899,             0.18502,           0.0027027,           0.0010653,           0.0006827,            0.033621,            0.074921,             0.15466,            0.009472,            0.009472,            0.009472
                  10,            0.035438,             0.10281,             0.14841,           0.0021927,            0.015315,           0.0021557,          0.00099344,             0.03004,            0.074905,             0.15459,            0.009406,            0.009406,            0.009406
                  11,            0.031573,             0.10845,             0.14804,          0.00067568,           0.0027027,          0.00070743,          0.00042446,            0.030235,            0.086071,              0.1544,             0.00934,             0.00934,             0.00934
                  12,            0.031694,             0.10554,             0.14788,           0.0027557,            0.010811,           0.0026293,           0.0015464,            0.034103,            0.078324,             0.15489,            0.009274,            0.009274,            0.009274
                  13,             0.03259,             0.10135,             0.14749,          0.00099099,           0.0081081,           0.0008536,          0.00051216,            0.030453,            0.077411,             0.15505,            0.009208,            0.009208,            0.009208
                  14,             0.03253,            0.099487,             0.14692,           0.0003003,           0.0009009,          0.00017809,          0.00014247,            0.032395,            0.082153,             0.15462,            0.009142,            0.009142,            0.009142
                  15,            0.031437,             0.10233,             0.14701,           0.0023997,            0.013063,            0.002361,           0.0017913,            0.033233,            0.084188,             0.15493,            0.009076,            0.009076,            0.009076
